review	aspect	sentiment
If you want good authentic Thai this place is not the place to go.	Thai	-1
We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.	food	1
The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.	pesto pizza	1
THe back garden sitting area is very pleasant, where you can see their personal herb garden.	back garden sitting area	1
We had the lobster sandwich and it was FANTASTIC.	lobster sandwich	1
My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.	portion	1
We waited at the bar and had martinis that were just right.	martinis	1
love the food.	food	1
it's the only place you can get yummy authentic japanese comfort food.	japanese comfort food	1
I've lived in NY for 5 years and this place has it all.	place	1
Great food, good size menu, great service and an unpretensious setting.	food	1
The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).	dishes	1
I'm glad I was introduced to this place and this is a rare gem in NY.	place	1
The freshest, best variety, and the fastest delivery.	delivery	1
The service was excellent and the food was delicious.	service	1
We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.	sushi	1
Definitely a great spot for a nice occasion or date.	spot	1
Average to good Thai food, but terrible delivery.	Thai food	1
A Thai restaurant out of rice during dinner?	Thai restaurant	-1
The food arrived 20 minutes after I called, cold and soggy.	food	-1
This is a wonderful place on all stand points especially value ofr money.	place	1
An excellent service	service	1
We were greeted promptly by the waiter who was very nice and cordial.	waiter	1
She was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about Indian food.	dishes	1
We ended our great experience by having Gulab Jamun (dessert) recommended by the waiter.	Gulab Jamun (dessert)	1
I thanked my friend who recommended me this restaurant and will certainly recommend it to others.	restaurant	1
Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.	Guacamole+shrimp appetizer	1
You cannot go wrong with this place.	place	1
The food is outstanding and the service is quick, friendly and very professional.	food	1
Always a nice crowd, but never loud.	crowd	1
I am reluctant to write because I would not want my jem of a pizza place to become overcrowded.	pizza place	1
By far, the best pizza in Manhattan.	pizza	1
The crust is thin, the ingredients are fresh and the staff is friendly.	crust	1
The menu has so many fish items and oysters.	menu	1
The fish was really,really fresh.	fish	1
I stumbled upon this great pizzeria as I explored my new neighborhood.	pizzeria	1
All of the pizzas are terrific and the price is even better!	pizzas	1
I highly recommend the Sophia pizza.	Sophia pizza	1
The food was mediocre at best but it was the horrible service that made me vow never to go back.	food	-1
Immediately after we paid, the waiter took the money and said, okay, you guys are outta here.	waiter	-1
For the people who want great food plus great service, Roxy is a place to AVOID!	food	-1
The first time the sushi was outstanding, the second time it was a little bland.	sushi	1
The blond wood decor is very soothing, the premium sake is excellent and the service is great.	blond wood decor	1
Mizu is the Japenese find in Grammercy.	Mizu	1
While their kitchen food is delicious, their Sushi is out of this world.	kitchen food	1
Mizu is home to creative and unique rolls not to found anywhere else.	rolls	1
Not only is the cuisine the best around, the service has always been attentive and charming.	cuisine	1
Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!	Mizu	1
Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.	Thalia	1
The entree was bland and small, dessert was not inspired.	entree	-1
I expected quite a bit more from such an expensive menu.	menu	-1
The view is spectacular, and the food is great.	view	1
Wonderful strawberry daiquiries as well!	strawberry daiquiries	1
Authentic Taiwanese food that's cheap... what more could you ask for?	Taiwanese food	1
The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.	cold appetizer dishes	1
delicious simple food in nice outdoor atmosphere.	food	1
Kind, attentive wait staff.	wait staff	1
I really like both the scallops and the mahi mahi (on saffron risotto-yum!).	scallops	1
My friend devoured her chicken and mashed potatos.	chicken and mashed potatos	1
Even if the food wasn't this good, the garden is a great place to sit outside and relax.	food	1
Great neighborhood joint.	joint	1
This is a nice pizza place with good selection of thin crust pizza including the Basil slice.	pizza place	1
Their calzones are horrific, bad, vomit-inducing, YUCK.	calzones	-1
The counter service is bad.	counter service	-1
NO PIZZA 33 for me!	PIZZA 33	-1
The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.	dosas	-1
Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.	place	-1
Seriously, this place kicks ass.	place	1
Best Italian food I ever had (and being Italian, that means alot).	Italian food	1
This is such a lovely, peaceful place to eat outside.	place	1
The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.	restaurant	1
Unique apppetizers.	apppetizers	1
Try sushimi cucumber roll.	sushimi cucumber roll	1
Good spreads, great beverage selections and bagels really tasty.	spreads	1
But who says Murray's is anything about service.	service	-1
The service is awful.	service	-1
This place is not worth the prices.	place	-1
Love Pizza 33..	Pizza 33	1
I will be out with friends and all of a sudden I am hungry and I only crave one thing... their Pizza.	Pizza	1
This tiny Williamsburg spot is always pleasantly surprising.	Williamsburg spot	1
The pizza is delicious and the proprietor is one of the nicest in NYC.	pizza	1
The cream cheeses are out of this world and I love that coffee!!	cream cheeses	1
I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!	manager	-1
Be sure not to get anything other than bagels!..	bagels	1
the turkey burgers are scary!	turkey burgers	-1
The worst excuse for Japanese food I've ever encountered.	Japanese food	-1
The soup for the udon was soy sauce and water.	soup for the udon	-1
The sushi was awful!	sushi	-1
The rice was poor quality and was cooked so badly it was hard.	rice	-1
Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.	rice	-1
It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.	Japanese cuisine	-1
Good, fast service.	service	1
Food is great and inexpensive.	Food	1
The location is perfect.	location	1
Well, this place is so Ghetto its not even funny.	place	-1
If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.	music	-1
Awsome Pizza especially the Margheritta slice.	Pizza	1
Great atmoshere and worth every bit.	atmoshere	1
Winnie and her staff are the best crew you can find serving you.	Winnie	1
The food is reliable and the price is moderate.	food	1
Try the Pad Thai, or sample anything on the appetizer menu...they're all delicious.	Pad Thai	1
Everything about this restaurant was special.	restaurant	1
The service was attentive, yet discreet.	service	1
The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.	brioche and lollies	1
The place was quiet and delightful.	place	1
Service was good and food is wonderful.	Service	1
It is definitely a good spot for snacks and chat.	spot	1
As a retired hipster, I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city.	Lucky Strike	1
The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.	food	1
But the best part about LS is the late night atmosphere, delightfully free of the BTs.	late night atmosphere	1
You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.	martini	1
The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.	in-house lady DJ	1
You can't go wrong with this place.	place	1
Suan is a great place that I often take my friends (classmates) too.	Suan	1
I LOVE their Thai	Thai	1
noodles with shrimp and chicken and coconut juice is the MUST!	noodles with shrimp and chicken and coconut juice	1
I will go back to Suan soon!	Suan	1
In summer-eat outside on a terrace (another great feature of Suan)!!!	terrace	1
I cannot imagine a friendlier staff working in a restaurant.	staff	1
I cannot imagine better Indian food in all of the city.	Indian food	1
During the course of the past 3 months, the chef and staff changed and it was not for the better.	chef	-1
The food now is inconsistent.	food	-1
This is the kind of place you'd like to take all your friends to and still keep a secret.	place	1
The setting is casual and romantic.	setting	1
The food is excellent! 	food	1
Do not get the Go Go Hamburgers, no matter what the reviews say.	Go Go Hamburgers	-1
The rest of the dim sum, though pricey by Chinatown standards, is worth it.	dim sum	-1
The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.	wait	-1
A few tips: skip the turnip cake, roast pork buns and egg custards.	turnip cake	-1
The food was exceptional.	food	1
I choose to go with one of the special, the braised lamb shank in red wine, which was excellent.	braised lamb shank in red wine	1
The service was friendly and the atmosphere was casual.	service	1
The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal	restaurant	1
this little place has a cute interior decor and affordable city prices.	place	1
Have eaten at Ginger House several times, and it's always good.	Ginger House	1
The fried dumplings are GREAT!	fried dumplings	1
Finally a reliable Chinese restaurant!	Chinese restaurant	1
This place would be so much better served by being run by a group that actually understands customer service.	customer service	-1
Terrible, terrible management - deserves to be shut-down.	management	-1
delicious bagels, especially when right out of the oven.	bagels	1
Spreads and toppings are great - though a bit pricey.	Spreads	1
The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.	food	-1
Rao is a good restaurant, but it's nothing special.	Rao	0
But after last night, Spice Grill is the only place I'm eating indian cuisine.	indian cuisine	1
You must try the shrimp appetizers.	shrimp appetizers	1
This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.	ambience	1
Great food, great prices, great service.	food	1
If you are looking for a good quality, cheap eats - this is the place.	eats	1
it's a perfect place to have a amanzing indian food.	indian food	1
I really loved the different and inovated touch that's the cheff gives to the food.	cheff	1
also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!	place	1
Their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience.	bagels	-1
Great bagels made the old-fashioned way.	bagels	1
Drawbacks: service is slow and they don't toast!	service	-1
The food was absolutely amazing!!	food	1
The baked clams octopus we shared as appetizers were the best we've ever had!! 	baked clams octopus	1
The lamb was tender so full of flavor, the dessert was divine!!	lamb	1
The waiter was attentive.	waiter	1
The place itself is beautiful the bar scene seems to be happening.	place	1
Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.	Appetizers	1
Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.	servings for main entree	1
Dessert is a joke...dont bother	Dessert	-1
Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.	service	1
The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.	feel	1
The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.	anti-pasta	1
The wine list is extensive and can easily hike up an otherwise reasonably priced meal.	wine list	1
Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...	measures of liquers	1
Fantastic place.	place	1
Lucky Strike is a great casual place to just grab a bite to eat.	Lucky Strike	1
(Always ask the bartender for the SEASONAL beer!!!	SEASONAL beer	1
Excellent spot for holiday get togethers with co-workers or friends that you haven't seen in a while.	spot	1
I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!	Heartland Brewery	1
What a great place!	place	1
Not the typical NYC gimmick theme restaurant.	restaurant	1
A cool bar with great food, and tons of excellent beer.	bar	1
The shrimp scampi was excellent and the antipasti were plentiful.	shrimp scampi	1
If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.	Corona	1
The only thing more wonderful than the food (which is exceptional) is the service.	food	1
The only thing the waiters don't do for you is wipe your chin when you leave.	waiters	1
Cozy romantic atomosphere with only around 15 tables at most.	atomosphere	1
Service was very prompt but slightly rushed.	Service	1
Food was very good, but not what I would consider out of this world.	Food	0
Too bad the food wasn't of the same heritage.	food	-1
But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.	tiramisu	-1
I really liked this place.	place	1
This place has the best Chinese style BBQ ribs in the city.	BBQ ribs	1
I also recommend the rice dishes or the different varieties of congee (rice porridge).	rice dishes	1
It's definately not a place to go if you want to impress someone.	place	-1
However, if you want great food at a great price and don't mind the decor, you can't beat this place.	food	1
Quick and friendly service.	service	1
When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.	main dining room	1
The food is wonderful, tasty and filling, and the service is professional and friendly.	food	1
I can't wait for summer, when they serve outside on their gigantic patio.	patio	1
This little place definitely exceeded my expectations and you sure get a lot of food for your money.	place	1
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.	service	1
Good drink.	drink	1
I have never had cheescake like this.	cheescake	1
Great spot, whether looking for a couple of drinks or quiet dinner.	spot	1
Warm and friendly in the winter and terrific outdoor seating in the warmer months.	outdoor seating	1
The food is great and they have a good selecion of wines at reasonable prices.	food	1
While the ambiance and atmosphere were great, the food and service could have been a lot better.	ambiance	1
We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.	chicken casserole	-1
i've been to sapphire twice and both times the food was fine, if not good.	food	1
stick with the chicken, beef, and lamb dishes.	chicken	1
service is friendly, and never had a problem walking in and getting a table.	service	1
skip dessert.	dessert	-1
Best Reuben sandwich ever!	Reuben sandwich	1
Don't miss Bloom's on your next trip to Manhatten.	Bloom's	1
It was the first place we ate on our first trip to New York, and it will be the last place we stop as we head out of town on our next trip to New York.	place	1
Thanks Bloom's for a lovely trip.	Bloom's	1
The food was not fresh, the sauces were bland and very oily.	food	-1
Pizza was a little soggy.	Pizza	-1
Not enough wines by the glass either.	wines by the glass	-1
Service, however, was excellent...and I liked the setting/atmosphere a lot. 	Service	1
Food was just average...if they lowered the prices just a bit, it would be a bigger draw.	Food	0
This place is a great bargain.	place	1
Authentic Pakistani food.	Pakistani food	1
People are always friendly.	People	1
Don't waste money on decor.	decor	0
Just straight up cheap, good food.	food	1
The best pad thai i've ever had.	pad thai	1
The design and atmosphere is just as good.	design	1
The food was actually aweful.	food	-1
The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.	mussles	-1
Nice atmosphere, the service was very pleasant and the desert was good.	atmosphere	1
The jukebox plays everything from Italian Opera to The Strokes.	jukebox	1
The food is amazing, rich pastas and fresh doughy pizza.	food	1
Best of all is the warm vibe, the owner is super friendly and service is fast.	vibe	1
go here for the drinks!	drinks	1
the drinks are amazing and half off till 8pm.	drinks	1
Ask for Usha, the nicest bartender in manhattan.	Usha	1
My fav was the sassy lassi...	sassy lassi	1
I really recommend the very simple Unda (Egg) rolls.	Unda (Egg) rolls	1
Delicate spices, onions, eggs and a kick-ass roti.	spices	1
Toons has recently been redone, so it's now a very attractive space.	Toons	1
In an area sadly lacking in decent Thai food, this is one of the best spots.	Thai food	1
Went here last night - nice decor, good service, but the food was surprisingly excellent.	decor	1
The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.	portions	1
Best drumsticks over rice and sour spicy soup in town!	drumsticks over rice	1
Beef noodle soup is good as well.	Beef noodle soup	1
The service is good and the resturant is clean.	service	1
Best Taiwanese food in NY!	Taiwanese food	1
I have been to Rao's probably 15 times the past 3 years and it keeps getting better.	Rao's	1
Rao's has the best service and atmosphere in NYC.	service	1
My roommate and I LOVE this place.	place	1
We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.	outdoor seating	1
Indoor was very cozy and cute.	Indoor	1
The portion sizes here are huge, and the sushi is good.	portion	1
Staff is very accomodating.	Staff	1
I got the $10 10-piece dim sum combo, every bite of which was great.	$10 10-piece dim sum combo	1
The decor is very simple but comfortable.	decor	1
The food was delicious but do not come here on a empty stomach.	food	1
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.	crabmeat lasagna	1
The staff there is very attentive and down to earth.	staff	1
Great Indian food and the service is incredible.	Indian food	1
The owner truly caters to all your needs.	owner	1
Great food and the prices are very reasonable.	food	1
The food here does a great service to the name (Cantonese that is...).	food	1
I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork.	egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork	1
This dish is my favorite and I always get it when I go there and never get tired of it.	dish	1
Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.	congee	1
Simply some good tasting Chinese food at incredible prices...	Chinese food	1
Big Wong is a great place to eat and fill your stomach.	Big Wong	1
whoever the jazz duo was, they were on POINT.	jazz duo	1
good music, great food, speedy service affordable prices.	music	1
even the wine by the glass was good.	wine by the glass	1
Consistently good Japanese Tapas.	Japanese Tapas	1
Always good drinks and service is pretty good;	drinks	1
Atmosphere is nice and relaxed too...	Atmosphere	1
A great place to meet up for some food and drinks...  	place	1
Yakitori (bbq meats) is tasty too.	Yakitori (bbq meats)	1
If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.	fish	-1
Price and quality of fish alone will keep us from making a return visit.	fish	-1
Wasn't going to share but I feel obligated...while sitting at the sushi bar dining we watched the chef accidentally drop a piece of Unagi on the floor and upon retrieving it from the floor proceed to use the piece in the delivery order he was preparing.	chef	-1
This place, which is only a few months old, is perhaps Queens' biggest secret!	place	1
Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!	decor	1
We were seated outside and the waiter spilled red wine and hot tea on myself and my date.	waiter	-1
One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.	waiter	-1
With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.	food	-1
I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.	service	-1
The food is okay and the prices here are mediocre.	food	0
Baluchi's has solid food and a nice decor at reasonable prices.	Baluchi's	1
He offers subpar service and has no personality.	service	-1
There is no excuse for such lousy service!	service	-1
I have never before eaten 40 pieces of relatively good nigiri.	nigiri	0
$20 for all you can eat sushi cannot be beaten.	all you can eat sushi	1
I went to Areo on a Sunday afternoon with four of my girlfriends, and spent three enjoyable hours there.	Areo	1
Most of the servers are very attentive, friendly and quite attractive.	servers	1
The vibe is very relaxed and cozy, service was great and the food was excellent!	vibe	1
Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.	Food	1
Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.	service	1
The food is great.	food	1
Personal pans are the perfect size for those hungry nights.	Personal pans	1
There is a downside if you're ordering in -- the delivery guys have MAJOR attitude.	delivery guys	-1
Never have I had such dramatic delivery guys (a lot of huffing and panting and muttering under breath b/c I live in a walkup) who always seem disappointed with their tips.	delivery guys	-1
Love the scene first off- the place has a character and nice light to it..very fortunate, location wise.	scene	1
The pizza was pretty good and huge.	pizza	1
We were 4 and got the family size penne a la vodka which was tremendously gigantic portion...a bucket of food literally.	penne a la vodka	1
The pasta penne was pretty extra buttery, creamy which means a big task to diggest.. tasty at first but i would say that i was full with a slice of pizza and 7 to count, penne...got a little moody afterwards cause was stuffed...lol	pasta penne	-1
La Rosa waltzes in, and I think they are doing it the best.	La Rosa	1
Interesting selection, good wines, service fine, fun decor.	selection	1
I found it on a cold night, the perfect spot to warm up.	spot	1
I recieved prompt service with a smile.	service	1
This place blew me away...by far my new favorite restaurant on the uppereast side.	place	1
The wine list is extensive and impressive.	wine list	1
LOVE the atmosphere - felt like I was in Paris.	atmosphere	1
The mussels were fantastic and so was the dessert...definitely going to be back very soon.	mussels	1
I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.	service	1
Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.	Vittorio	1
I've also been amazed at all the new additions in the past few years: A new Jazz Bar, the most fantastic Dining Garden, the Best Thin Crust Pizzas, and now a Lasagna Menu which is to die for (these are not your average lasagnas)!	Jazz Bar	1
I lOVE THIS PLACE!	PLACE	1
I have to say I have never had a disapointing meal here.	meal	1
We could have made a meal of the yummy dumplings from the dumpling menu.	dumplings	1
Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.	BBQ Salmon	1
Love Al Di La	Al Di La	1
Great food.	food	1
The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.	pastas	1
The food here was mediocre at best. 	food	-1
It was totally overpriced- fish and chips was about $15.... 	fish and chips	-1
Tasty Dog!	Dog	1
The Cypriot restaurant has a lot going for it.	Cypriot restaurant	1
But the best pork souvlaki I ever had is the main thing.	pork souvlaki	1
Super YUMMY Pizza!	Pizza	1
I was visiting New York City with a friend and we discovered this really warm and inviting restaurant.	restaurant	1
I LOOOVE their eggplant pizza, as well as their pastas!	eggplant pizza	1
We had half/half pizza, mine was eggplant and my friend had the buffalo and it was sooo huge for a small size pizza!	half/half pizza	1
Excellent food, although the interior could use some help.	food	1
The space kind of feels like an Alice in Wonderland setting, without it trying to be that.	space	-1
Reliable, Fresh Sushi	Sushi	1
The sashimi is always fresh and the rolls are innovative and delicious.	sashimi	1
Have never had a problem with service save a missing rice once.	service	1
Delivery can be spot on or lacking depending on the weather and the day of the week.	Delivery	-1
Best. Sushi. Ever.	Sushi	1
This place has ruined me for neighborhood sushi.	sushi	1
Excellent sashimi, and the millennium roll is beyond delicious.	sashimi	1
not only is the food	food	1
The waiter was attentive, the food was delicious and the views of the city were great.	waiter	1
Great place to relax and enjoy your dinner	place	1
There is something about their atmosphere that makes me come back nearly every week.	atmosphere	1
Place is open till late, no dress code.	Place	1
Good food: my favorite is the seafood spaghetti.	food	1
Excellent food for great prices	food	1
The wait staff is very courteous and accomodating.	wait staff	1
The space is limited so be prepared to wait up to 45 minutes - 1 hour, but be richly rewarded when you savor the delicious indo-chinese food.	space	1
my favorite place lol	place	1
i love their chicken pasta cant remember the name but is sooo good	chicken pasta	1
im not necessarily fanatical about this place, but it was a fun time for low pirces.	place	1
its just a fun place to go, not a five star restaraunt.	restaraunt	0
I think the pizza is so overrated and was under cooked.	pizza	-1
Had no flavor and the staff is rude and not attentive.	staff	-1
I love this place	place	1
The service was quick and friendly.	service	1
I ordered the vitello alla marsala and I was pretty impressed.	vitello alla marsala	1
The veal and the mushrooms were cooked perfectly.	veal	1
The potato balls were not dry at all... in fact it was buttery.	potato balls	1
WORST PLACE ON SMITH STREET IN BROOKLYN	PLACE	-1
Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.	bartender	-1
I would never recommend this place to anybody even for a casual dinner.	place	-1
the food is always fresh ...	food	1
overpriced japanese food with mediocre service	japanese food	0
Chicken teriyaki had tomato or pimentos on top??	Chicken teriyaki	-1
food was luke warm.	food	-1
The waitress was not attentive at all.	waitress	-1
I was looking for banana tempura for dessert and they dont have.	dessert	-1
"Not because you are ""The Four Seasons""... – you are allowed to charge an arm and a leg for a romatic dinner."	The Four Seasons	-1
The food was excellent as well as service, however, I left The Four Seasons very dissappointed.	food	1
I do not think dinner in Manhattan should cost $400.00 where I am not swept off my feet.	dinner	-1
Just go to Yamato and order the Red Dragon Roll.	Yamato	1
The Seafood Dynamite is also otherworldly.	Seafood Dynamite	1
Favorite Sushi in NYC	Sushi	1
An unpretentious spot in Park Slope, the sushi is consistently good, the service is pleasant, effective and unassuming.	spot	1
In the summer months, the back garden area is really nice.	back garden area	1
The rolls are creative and I have yet to find another sushi place that serves up more inventive yet delicious japanese food.	rolls	1
I CAN EAT HERE EVERY DAY OF THE WEEK REALLY LOL LOVE THIS PLACE ...)	PLACE	1
Gross food – Wow-	food	-1
I can't remember the last time I had such gross food in New York.	food	-1
My quesadilla tasted like it had been made by a three-year old with no sense of proportion or flavor.	quesadilla	-1
And $11 for a plate of bland guacamole?	guacamole	-1
Don't get me started on the margaritas, either.	margaritas	-1
Oh, and I never write reviews--I just was so moved by how bad this place was, I felt it was my duty to spread the word.	place	-1
Great Indian Food!	Indian Food	1
The food was good, the place was clean and affordable.	food	1
I noticed alot of indian people eatting there which is a great sign for an indian place!	indian place	1
This is one of my favorite spot, very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .	food	1
The staff is very good.	staff	1
Love their drink menu.	drink menu	1
I highly recommend this beautiful place.	place	1
Food was OK.	Food	0
Nice view of river and NYC.	view of river and NYC	1
Great survice	survice	1
A beautifully designed dreamy Egyptian restaurant that gets sceney at night.	Egyptian restaurant	1
Watch the talented belly dancers as you enjoy delicious baba ganoush that's more lemony than smoky.	belly dancers	1
Oh, and there's hookah.	hookah	1
Raymond the bartender rocks!	Raymond	1
Pacifico is a great place to casually hang out.	Pacifico	1
The drinks are great, especially when made by Raymond.	drinks	1
The omlette for brunch is great...	omlette for brunch	1
the spinach is fresh, definately not frozen...	spinach	1
quacamole at pacifico is yummy, as are the wings with chimmichuri.	quacamole	1
A weakness is the chicken in the salads.	chicken in the salads	-1
Overall, decent food at a good price, with friendly people.	food	1
Best Indian Restaurant in the City	Indian Restaurant	1
Decor needs to be upgraded but the food is amazing!	Decor	1
This small Astoria souvlaki spot makes what many consider the best gyros in New York.	gyros	1
What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and sausages), and made of much higher quality ingredients that might otherwise be expected.	food	1
All the various Greek and Cypriot dishes are excellent, but the gyro is the reason to come--if you don't eat one your trip was wasted.	Greek and Cypriot dishes	1
Best restaurant in Brooklyn	restaurant	1
Great food, amazing service, this place is a class act.	food	1
This place is a must visit!	place	1
The food is all shared so we get to order together and eat together.	food	1
I've enjoyed 99% of the dishes we've ordered with the only exceptions being the occasional too-authentic-for-me dish (I'm a daring eater but not THAT daring).	dishes	1
My daughter's wedding reception at Water's Edge received the highest compliments from our guests.	Water's Edge	1
Everyone raved about the atmosphere (elegant rooms and absolutely incomparable views) and the fabulous food!	atmosphere	1
Service was wonderful;	Service	1
Paul, the maitre d', was totally professional and always on top of things.	Paul	1
Thank you everyone at Water's Edge.	Water's Edge	1
Service ok but unfriendly,filthy bathroom.	Service	-1
The high prices you're going to pay is for the view not for the food.	view	0
The bar drinks were Eh, ok to say the least.	bar drinks	-1
The stuff tilapia was horrid...tasted like cardboard.	stuff tilapia	-1
We thought the dessert would be better, Wrong!	dessert	-1
oh speaking of bathroom , the mens bathroom was disgusting.	mens bathroom	-1
The wine list was extensive - though the staff did not seem knowledgeable about wine pairings.	wine list	1
"The bread we received was horrible - rock hard and cold - and the ""free"" appetizer of olives was disappointing."	bread	-1
However, our main course was wonderful.	main course	1
I had fish and my husband had the filet - both of which exceeded our expectations.	fish	1
The dessert (we had a pear torte) was good - but, once again, the staff was unable to provide appropriate drink suggestions.	pear torte	1
When we inquired about ports - the waitress listed off several but did not know taste variations or cost.	waitress	-1
Not what I would expect for the price and prestige of this location.	location	0
All in all, I would return - as it was a beautiful restaurant - but I hope the staff pays more attention to the little details in the future.	restaurant	1
short and sweet – seating is great:it's romantic,cozy and private.	seating	1
The boths are not as small as some of the reviews make them out to look they're perfect for 2 people.	boths	1
The food was ok and fair nothing to go crazy.	food	0
So what you really end up paying for is the restaurant not the food.	restaurant	-1
Subtle food and service	food	1
Noodle pudding is exactly the type of service and food I enjoy.	service	1
Servers are all different, Greg is my favorite.	Greg	1
This is the first place I've been that a runner remembers my order... hope he likes his job because I have half a mind to steal him for my restaurant.	runner	1
Prices are fair across the board for both food and bev.	food	1
I go out to eat and like my courses, servers are patient and never rush courses or force another drink.	servers	1
amazing fresh dogs but best of all endless toppings!!!	dogs	1
this place had ALL the trimmings and i mean all.	trimmings	1
amazing fun for hot dog lovers of all ages PLEASE do yourself a favor and check this place out!!!!	hot dog	1
Stepping into Casa La Femme last night was a true experience unlike any other in New York!	Casa La Femme	1
